material_id,formula,n_pred_n0,n_target
mp-1175422,Li9Mn2Co5O16,2.5167,0.0
mp-865424,CsUO3,2.385,0.0
mp-774323,Li4MnV3(P2O7)4,1.7842,0.0
mp-1277566,CaLa3(CoO4)2,2.5154,0.0
mp-1225204,Fe3(Se2S)2,4.8813,0.0
mp-863292,Na3VP2O9,1.7666,0.0
mp-1191858,Tl4CuTeO6,2.9837,0.0
mp-1175994,Li9Mn2Co5O16,2.4913,0.0
mp-760077,MnFeCo(PO4)3,2.3078,0.0
mp-1193782,Mn5VO8,2.2615,0.0
mp-706231,NaSr9Fe5(MoO6)5,2.405,0.0
mp-3927,CaAsAu,4.9382,0.0
mp-760774,Li2Ni3SnO8,2.8356,0.0
mp-1213648,CsTmMnSe3,2.4049,0.0
mp-755025,VCu(PO4)2,2.4032,0.0
mp-1228079,Ba3Sr(SnO3)4,2.2444,0.0
mp-6389,NaLa2RuO6,2.4183,0.0
mp-24528,CrH8C4(S2N3)2,1.7528,0.0
mp-1095273,BaGdCuTe3,3.0329,0.0
mp-778508,Li3MnV(PO4)3,1.86,0.0
mp-767065,LiMn3F10,1.7933,0.0
mp-1176824,Li9V8F48,1.5355,0.0
mp-1209530,Rb2UBr5,1.8937,0.0
mp-1147563,Sr4Fe3ClO8,2.0936,0.0
mp-1227239,Ca5P3O13,1.7495,0.0
mp-1304218,Li3MgNi3O8,2.7728,0.0
mp-1215816,Zn2InCuSe4,2.8363,0.0
mp-715474,MoO3,2.2705,0.0
mp-1176597,LiV2(SO4)3,1.7281,0.0
mp-762538,Mn13Fe11O32,2.3863,0.0
mp-1205859,KRb2PdF6,1.5492,0.0
mp-1214463,BaMnO4,1.8689,0.0
mp-1177464,Li4Mn3Fe3(PO4)6,1.9147,0.0
mp-1100502,Li9Mn7O16,2.4397,0.0
mp-753705,LiMn3(O2F)2,2.9506,0.0
mp-779209,Li4Nb3Fe3(TeO8)2,2.1556,0.0
mp-1224536,In6Sn8S19,3.1724,0.0
mp-15081,Sm2Se3,3.1486,0.0
mp-1222046,MgFe4CuO8,2.6685,0.0
mp-753135,CrH10S2(NO2)4,1.6584,0.0
mp-1203182,NdCrO5,2.1016,0.0
mp-758700,LiMn2O4,2.5256,0.0
mp-755715,TiV3O8,2.5584,0.0
mp-1221502,MnZnS2,3.2401,0.0
mp-1256014,KAl2P2H4O11,1.6031,0.0
mp-541023,CaFe3Si2HO9,1.9576,0.0
mp-779050,Li9V14O35,2.1606,0.0
mp-1178157,K(WO3)3,2.3866,0.0
mp-558179,Fe3BO5,2.2073,0.0
mp-763519,Li4Mn3Nb2Co3O16,2.6826,0.0
mp-1175034,Li7Mn2(CoO4)3,2.4898,0.0
mp-540841,U2NiO6,2.4796,0.0
mp-767137,Li3Sb17S27,3.3308,0.0
mp-753623,Li2Cu4S3,3.0268,0.0
mp-996987,LiCuO2,2.8658,0.0
mp-29259,Bi2PdO4,2.9224,0.0
mp-754242,LiFe2(PO4)2,1.9203,0.0
mp-11775,RbUO3,2.2904,0.0
mp-758761,Li3Mn2(CO3)4,1.702,0.0
mp-1173369,Pr2EuSe4,3.0869,0.0
mp-863766,Fe32O35,2.3154,0.0
mp-761050,Na7Cr4(PO4)6,1.7492,0.0
mp-1029069,MoW(SeS)2,2.8498,0.0
mp-1174293,Li7Co5O12,2.4632,0.0
mp-758415,LiCuPO4,2.0506,0.0
mp-1209458,Sm2Sn3(PbS4)3,3.124,0.0
mp-1190952,TbPS,3.289,0.0
mp-36600,Ag3SBr,2.8364,0.0
mp-1018033,AgRhO2,3.2767,0.0
mp-1175803,Li9Mn2Co5O16,2.507,0.0
mp-1103098,BiRhS,4.8718,0.0
mp-504357,Cr4(PO4)3,1.9352,0.0
mp-634977,Cs3Fe2Cl9,1.8445,0.0
mp-1100861,V16Bi3O32,2.8121,0.0
mp-1216113,Y4MnS7,2.7312,0.0
mp-29582,Li2CrCl4,1.8274,0.0
mp-1188648,Y6NiBr10,2.5467,0.0
mp-572807,NdCu3Se2ClO8,2.3254,0.0
mp-1315204,Li5Ti2V3O10,2.3727,0.0
mp-1096549,SiGe,3.7131,0.0
mp-21390,La2InCuSe5,3.2394,0.0
mp-567322,KSm2Sb3Se8,3.3202,0.0
mp-29394,Gd2CCl2,2.3423,0.0
mp-1173916,Li2MnCoO4,2.487,0.0
mp-36884,Mn2SnO4,2.1268,0.0
mp-759279,Li9Cr4(BO3)8,1.8451,0.0
mp-776297,Li4Ti5Co3O16,2.5139,0.0
mp-698206,Ba5Re3O16,1.9229,0.0
mp-1214391,BaNpO4,2.1122,0.0
mp-1177602,Li3MnV(PO4)3,1.9402,0.0
mvc-10396,BaCaAgF7,1.6959,0.0
mp-1205761,K2PdBr6,2.2027,0.0
mp-761163,Na2(NiO2)7,2.9021,0.0
mp-561375,Pr10S19,2.8857,0.0
mp-530444,MgMn2O4,2.2791,0.0
mp-752796,Li4Ti2Mn3O10,2.2632,0.0
mp-1202554,K3(TcCl4)2,1.8577,0.0
mp-752894,Li3Co2(SiO4)2,1.8626,0.0
mp-771669,Li5Mn5O12,2.5314,0.0
mp-1173299,Sm2EuSe4,3.1185,0.0
mp-1112655,Cs3CeCl6,1.6077,0.0
mp-556560,MnF3,1.8986,0.0
mp-1260750,MgCu(SiO3)2,1.8612,0.0
mvc-6329,Ca(CuO2)2,2.9597,0.0
mp-710070,K5Ce2H2S6O25,1.5948,0.0
mp-996997,LiAgO2,2.6847,0.0
mp-1213063,CsTbMnSe3,2.3712,0.0
mp-1176188,Li9Mn2Co5O16,2.4992,0.0
mp-1030447,Te3Mo2Se,2.8392,0.0
mp-867323,Pr3MnAlS7,2.7701,0.0
mp-1206719,NdNiBi,5.161,0.0
mp-531804,Li9Mn15O32,2.4949,0.0
mp-1219319,Sm2CoNiO6,2.4148,0.0
mp-776451,Li2MnVP2(HO5)2,1.9768,0.0
mp-628773,SnSe,2.7967,0.0
mp-755519,Li3MnCr3O8,2.2594,0.0
mp-755672,Li4Ni5SnO12,2.7386,0.0
mp-1224839,Ga2HgTe4,3.3784,0.0
mp-1213649,CsHoMnSe3,2.3783,0.0
mp-616255,In2Sn3S7,3.1536,0.0
mp-779282,Li9Bi5O13,2.1855,0.0
mp-1190046,Sb2Au(XeF6)2,1.79,0.0
mp-773232,Li5V3P8O29,1.9641,0.0
mp-777608,V6O7F5,2.3458,0.0
mp-1199033,K2TcCl5O,1.8077,0.0
mp-1640232,Li7Mn4CoO12,2.3929,0.0
mp-1025626,Te4Mo2WSe2,2.6721,0.0
mp-752556,KCoO2,2.1938,0.0
mp-1174365,Li7Co5O12,2.4135,0.0
mp-966800,InP,3.5538,0.0
mp-12046,Rb3Na(RuO4)2,1.7512,0.0
mp-19111,NaV2O5,2.2786,0.0
mp-1213650,CsErMnSe3,2.3908,0.0
mp-1103685,Rb(MoSe)3,3.4427,0.0
mp-1201824,TbCrO5,2.1594,0.0
mp-755653,LiFeF5,1.77,0.0
mp-1175910,Li9Mn2Co5O16,2.4914,0.0
mp-1197843,Ca5(SiO5)2,1.7661,0.0
mp-30027,RbCrCl3,2.4582,0.0
mp-1519089,KNdEuWO6,2.1337,0.0
mp-1274148,CrBiO4,2.3013,0.0
mp-1176199,Li9Mn2Co5O16,2.4978,0.0
mp-704992,RbCoO2,2.0981,0.0
mp-1518032,BaCaInBiO6,2.3221,0.0
mp-1224861,Ga2CuAgTe4,3.5613,0.0
mp-755614,CoBiO4,2.7762,0.0
mp-850288,V3(O2F)2,2.4804,0.0
mp-775374,Li3MnV(PO4)3,1.8678,0.0
mp-1200763,CrCuPPb2O9,2.3155,0.0
mp-644292,Eu2MgH6,2.2261,0.0
mp-764415,MnFeCo(PO4)3,2.3111,0.0
mp-676250,Bi2Te4Pb,5.4022,0.0
mp-773059,V8CuO20,2.4444,0.0
mp-1101938,FeB2,4.0194,0.0
mvc-4220,Ca3Cu2(GeO4)3,2.6727,0.0
mp-12047,K3Na(RuO4)2,1.7652,0.0
mp-540204,Co2P3O10,1.7048,0.0
mp-1029143,Te6Mo3WSe2,2.8135,0.0
mp-1177562,Li3MnV(PO4)3,1.9472,0.0
mp-14889,K9Fe2S7,1.9509,0.0
mp-989528,Rb2AlInH6,2.4198,0.0
mp-776160,Cr2O5,2.5523,0.0
mp-1174020,Li3MnCoO5,2.4289,0.0
mp-1174126,Li4MnCo3O8,2.5345,0.0
mp-541979,Bi9Rh2I3,3.764,0.0
mp-1194301,Li3CuB3O7,1.8546,0.0
mp-5367,K5SnSb3,2.836,0.0
mp-758715,Li2CuSiO4,2.0806,0.0
mp-561113,Ag2BiO3,3.5772,0.0
mvc-14025,Zn2Co3O8,3.1684,0.0
mp-1175749,Li9Mn2Co5O16,2.4919,0.0
mp-573073,Cs7Cu6F19,1.749,0.0
mp-1200705,W6CCl15,2.1025,0.0
mp-1199290,Cs6U2(Cu4S5)3,2.4297,0.0
mp-1112064,K2SbAuI6,2.6925,0.0
mp-753796,Li6CrO6,1.7529,0.0
mp-1222710,LiV5O10,2.6106,0.0
mp-39239,SrLaMnRuO6,2.6412,0.0
mp-1517875,BaSrCeWO6,2.2095,0.0
mp-1113637,Rb2SbAuI6,2.6552,0.0
mp-771053,Mn5Cr3O16,2.6316,0.0
mp-755517,V6O7F5,2.3947,0.0
mp-19793,YbFeO3,2.8065,0.0
mp-753132,CaMn7O8,2.1769,0.0
mp-764516,Li3Co2(SiO4)2,1.9547,0.0
mp-9179,Ba3Zr2S7,2.8048,0.0
mp-1190998,PrPS,3.3257,0.0
mp-1177335,Li4V3P8O29,1.9547,0.0
mp-504699,Ba2UFeO6,2.3319,0.0
mp-1174838,Li7Mn2(CoO4)3,2.5469,0.0
mp-777640,LiV4OF11,1.7346,0.0
mp-1197664,K3Li3P6O19,1.5685,0.0
mp-9503,BaDyCuTe3,3.0364,0.0
mp-1223921,K2VCo6Cu2As5O24,2.1747,0.0
mp-555113,Rb3Cu2(BiS2)5,2.9812,0.0
mp-756128,Li2Cr3CoO8,2.5353,0.0
mvc-5760,BiO2,2.5702,0.0
mp-6090,Na2Cu(CO3)2,1.8285,0.0
mp-1192538,K(SnAs)3,3.8288,0.0
mp-850462,Li4MnV3(P2O7)4,1.7819,0.0
mp-772134,Li2Cr3Ni(SO4)6,1.7522,0.0
mp-1215797,Zn2Cu10Sb4S13,3.7806,0.0
mp-1025781,Te4Mo2WSe2,2.5917,0.0
mp-1190817,CsEuAsS3,2.2878,0.0
mp-1029236,Te3MoWSe,2.781,0.0
mp-1228475,Ba5Mn(Co2O7)2,2.4309,0.0
mp-1195767,Ca5P3O13,1.7515,0.0
mp-1080771,NaCl7,1.7716,0.0
mp-1184972,Li2InBi,4.21,0.0
mp-1196467,Rb2Cu3P4(O3F)4,1.9933,0.0
mp-755014,Li5Ti2Ni3O10,2.2824,0.0
mp-1013554,Sr3PN,3.0427,0.0
mp-752921,LiMn4O8,2.6349,0.0
mp-1667296,Li7Mn4CoO12,2.3994,0.0
mp-1194762,Na2NdGeO5,1.9183,0.0
mp-585241,LiBi2(PO4)3,1.9345,0.0
mp-777835,Li6MnV3(PO4)6,1.9192,0.0
mp-1214014,Cs2NaUBr6,1.8021,0.0
mp-1194274,Na2Cr3O9,2.1143,0.0
mp-1520136,BaNaCeWO6,2.1564,0.0
mp-22375,In2S3,3.0034,0.0
mp-1310718,Li4Mn3NbO8,2.2754,0.0
mp-754260,V6O11F,2.8458,0.0
mvc-3029,Mg2Co3O8,2.9076,0.0
mp-1247365,Ca5(ReN3)2,2.6197,0.0
mp-1112922,Cs2SbAuI6,2.7092,0.0
mp-777185,Li4V2(PO4)3,1.7717,0.0
mp-759105,Ni6OF11,1.6604,0.0
mp-29332,Pt(PbO2)2,2.6529,0.0
mp-1194704,GaSb2(TeCl2)2,2.4252,0.0
mp-1204039,CsSb,2.7886,0.0
mp-989620,LaTaN3,3.5642,0.0
mp-774806,Li4Mn3Cr3(SbO8)2,2.3108,0.0
mp-556047,K2OsCBr5O,1.8456,0.0
mp-29641,GeSb4Te7,5.2371,0.0
mp-18896,V6O13,2.6524,0.0
mp-753140,Li3Ti2(FeO4)2,2.2967,0.0
mp-849423,Li2MnVP2(HO5)2,1.998,0.0
mp-646548,KEuAsS3,2.3086,0.0
mp-997161,CoAuO2,3.5369,0.0
mp-24013,CrCuH18N6Cl5,1.7168,0.0
mp-1101873,ErS2,2.8558,0.0
mp-9660,Sr2Cu(BO3)2,1.9584,0.0
mp-861503,Pr3Sb4Au3,5.1475,0.0
mp-669445,Cu2Bi8Pb6S19,3.6616,0.0
mp-1077840,Mn(BiTe2)2,4.9584,0.0
mp-755788,TlCoO3,2.9403,0.0
mp-2142,Te2Os,4.3103,0.0
mp-620346,Ba3InAs3,3.2406,0.0
mp-997028,AgO2F,2.3327,0.0
mp-1667008,Li7Mn5O12,2.4536,0.0
mp-754905,Ni3OF5,1.7185,0.0
mp-1176273,Li9Mn2Co5O16,2.5408,0.0
mp-777405,LiMn2(BO3)2,2.0789,0.0
mp-759670,Ni6OF11,1.6616,0.0
mp-1177555,Li4Mn5(Fe2O9)2,2.5451,0.0
mp-777277,Li2Cr3CuO8,2.8401,0.0
mp-1302132,Mn(GeO3)2,2.2856,0.0
mp-1203875,Zn2Te15(H3N)8,2.6536,0.0
mp-753804,LiCo2(PO4)2,1.8271,0.0
mp-743698,Ca5Dy3Ti5Mn3O24,2.5107,0.0
mp-1206536,Ba2InSbO6,2.1682,0.0
mp-1221733,MnCd4Te5,2.9158,0.0
mp-1079276,LiAsSe2,3.5576,0.0
mp-867706,V16FeO41,2.3712,0.0
mp-1215702,Zn3Cu3(TeO6)2,2.9903,0.0
mp-1246815,ZrCrAgS4,3.1642,0.0
mp-1175722,Li9Mn2Co5O16,2.5149,0.0
mp-1175568,Li9Mn2Co5O16,2.4881,0.0
mp-13327,NdLuSe3,3.0139,0.0
mp-530714,Ba14AlSb11,3.3519,0.0
mp-1224129,InCuSnSe4,2.9909,0.0
mp-1220839,NaLaTi8(CuO4)6,3.0109,0.0
mp-1080853,CeSe2,3.0214,0.0
mp-13326,PrLuSe3,3.0054,0.0
mp-1225986,Cu2Ag5Se4NO15,2.3827,0.0
mp-1100654,Li9Mn2Co5O16,2.4481,0.0
mp-1028592,Te3MoWSe,2.78,0.0
mp-1224809,Ga2Se3,2.7657,0.0
mp-1176568,Mn3NiO8,2.9245,0.0
mp-769528,Na5Ni2P2(CO7)2,1.6309,0.0
mp-1221196,Na4Eu(SiTe3)2,2.4682,0.0
mp-759961,FeOF,2.1139,0.0
mp-1176685,LiMnP2O7,1.9007,0.0
mp-758359,Li2CrSi4O11,1.7529,0.0
mp-1204799,Tc2Te5,4.5247,0.0
mp-1185586,Mg149Be,2.8787,0.0
mp-1221084,NaCu2H3(SO5)2,2.0142,0.0
mp-1213622,FeF6,1.5663,0.0
mp-771903,Fe5Cu(PO4)6,2.1529,0.0
mp-759992,MnFeCo(PO4)3,2.3217,0.0
mp-1177364,Li4MnV3(P2O7)4,1.789,0.0
mp-1239,Sb3Ir,4.9581,0.0
mvc-5884,Mg(CuO2)2,2.6218,0.0
mp-1177408,Li4Fe5SbO12,2.1482,0.0
mp-1030722,Te2Mo3WSe6,0.9689,0.0
mp-765221,Mn6OF11,1.6588,0.0
mp-752993,Li4Mn3Ni3(WO8)2,2.2624,0.0
mp-1180335,MnAl6Si4O19,1.8111,0.0
mp-1176463,Mn3NbO8,2.8361,0.0
mp-1213054,Eu2TlCl5,2.0015,0.0
mp-504531,CuH20S2(NO7)2,1.5903,0.0
mp-768927,Li2MnPCO7,1.811,0.0
mp-1228709,Ba3Sc3In(CuO4)3,2.3125,0.0
mp-1177037,Li6Mn3V(PO4)6,2.0063,0.0
mp-758711,V6O11F,2.8485,0.0
mp-1247714,SrCa7Ti3Mn5O24,2.7732,0.0
mp-675683,Yb3(Sb7Te12)2,5.0855,0.0
mp-1177211,Li4V3P8O29,1.9669,0.0
mp-758147,LiCu(PO3)3,1.6803,0.0
mp-1213135,Er2Sn3(PbS4)3,3.1407,0.0
mp-1204382,Tm10S19,2.897,0.0
mp-1225031,KRbCuH12(SeO7)2,1.6539,0.0
mp-1225935,Cu2AgBiPbS4,3.6719,0.0
mp-1318786,LiCo3NiO8,3.29,0.0
mp-1028419,Te2Mo3WSe6,0.956,0.0
mp-758856,LiCuPO4,2.1396,0.0
mp-1218922,SnTe(PbS)4,4.1013,0.0
mp-1176959,Li6MnV3(PO4)6,1.9194,0.0
mp-1185594,Mg149In,2.8446,0.0
mp-1201576,ZnCu2PH7O9,1.9002,0.0
mp-766516,Li2Mn3(BO3)4,2.2704,0.0
mp-1215544,ZnCr4CdSe8,3.4617,0.0
mp-778856,Li3Mn4(BO3)4,2.0142,0.0
mp-863857,Mn3Co3(SbO8)2,2.82,0.0
mp-761266,Li6MnV3(PO4)6,1.8488,0.0
mp-1175424,Li9Mn2Co5O16,2.5487,0.0
mp-1175441,Li9Mn2Co5O16,2.5639,0.0
mp-1218308,Ta2Se8Br,2.6978,0.0
mp-644514,MnO2,3.055,0.0
mp-555267,CuHgSBr,2.7675,0.0
mp-1198792,Te7WBr5O,3.3717,0.0
mp-1219124,Sr14GaAs11,3.167,0.0
mvc-9017,MgAgBiO5,2.6908,0.0
mp-782657,Mn3VTe2(PO4)6,2.0562,0.0
mp-1198019,ReN2(OF2)4,1.5673,0.0
mp-765998,Li4Mn8O9F7,2.0196,0.0
mp-1189209,Ho2Te3,3.0481,0.0
mp-1203888,NaCeS2O9,1.7322,0.0
mp-1218649,Sr2Y4Fe2Cu2O13,2.364,0.0
mp-849537,V6O11,2.7767,0.0
mp-11051,NaSn,4.1393,0.0
mp-705371,Li3Cr4P9O32,2.0644,0.0
mp-1199946,Ba2FeSbS5,2.6388,0.0
mp-1095403,BaTbCuTe3,3.0519,0.0
mp-1191492,LaPS,4.1339,0.0
mp-759136,LiMn5O10,2.6216,0.0
mp-1105293,GaAgO2,2.3533,0.0
mp-27370,P10Au7I,3.8467,0.0
mp-1245742,Sr11(CN5)2,2.378,0.0
mp-1175775,Li9Mn2Co5O16,2.4945,0.0
mp-1080303,CeSe2,3.0161,0.0
mp-1002568,MgMn2O4,2.7861,0.0
mp-776421,LiV2OF5,1.8142,0.0
mp-1209172,Tb2Sn3(PbS4)3,3.1383,0.0
mp-542697,Rb2RuO4,1.7451,0.0
mp-675142,Yb3DySb3,3.7379,0.0
mp-1223515,KCu2H3(SO5)2,1.9562,0.0
mp-1202624,Ca5P3O13,1.7518,0.0
mp-32633,Dy6Se11,3.2476,0.0
mp-581143,RuOF4,1.8073,0.0
mp-1208390,Ta6Bi2O19,2.3742,0.0
mp-1087540,CdCu2SiTe4,3.6169,0.0
mp-674531,Li5GeP3,2.8921,0.0
mp-1219003,Sn2SeS2,3.1403,0.0
mp-707485,K4Cu3As4(HO8)2,1.9556,0.0
mp-704890,Ba8Co7O19,2.3071,0.0
mp-989624,TiPN3,2.9854,0.0
mp-989613,TiPN3,2.6602,0.0
mp-1278660,Li4CoOF5,1.6923,0.0
mp-1105196,ZnCuH3ClO3,1.9553,0.0
mp-775433,Li2Ni(PS3)2,3.0133,0.0
mp-1030281,Te6Mo3WS2,1.0511,0.0
mp-1219943,Pb2SeS,4.2306,0.0
mp-22265,Fe(SbO2)2,2.2271,0.0
mp-979979,Sm3Sb4Au3,5.2493,0.0
mp-1292648,Mn3(OF2)2,2.8941,0.0
mp-1176988,Li6MnV3(PO4)6,1.9176,0.0
mp-1219521,SbAsIr,4.7464,0.0
mp-1244743,MgBi2O5,2.1854,0.0
mp-765036,Li2MnOF3,1.6955,0.0
mp-1214402,BaNdCuTe3,3.0081,0.0
mp-1648759,ZnCr(GeO3)2,1.9467,0.0
mp-557381,Rb3U3Ge2O13,2.0348,0.0
mp-1106376,Sm2Te3,3.3745,0.0
mp-1004376,NaMn2O4,2.4159,0.0
mp-1214627,Ba2SrY2Cu2PtO10,2.3809,0.0
mp-754570,Li4Ti3V3(SnO8)2,2.2485,0.0
mp-867649,LiTi(Si2O5)2,1.7224,0.0
mp-778827,LiMn2(BO3)2,2.0514,0.0
mp-541312,Ge3(Te3As)2,4.8147,0.0
mp-698313,Rb2CuH4(C2O5)2,1.6381,0.0
mp-1113487,Rb2FeCuF6,1.6801,0.0
mp-16435,Ba3Sc4(CuO4)3,2.2995,0.0
mp-1192859,NaFePO4,1.6895,0.0
mvc-3578,Ca2Cr3O8,2.5138,0.0
mp-1174951,Li7Mn2(CoO4)3,2.4349,0.0
mp-758550,K4Li3Mn2O8,1.8024,0.0
mp-530277,Li10Co11O21,2.8008,0.0
mp-1174912,Li7Mn2(CoO4)3,2.6083,0.0
mp-1247360,Ca3InN3,2.6784,0.0
mp-647152,CsEr13(CoI12)2,2.3895,0.0
mp-1653040,CaV5O7,2.7343,0.0
mp-1225870,CsTaS3,2.0866,0.0
mp-753229,Li2Mn3NiO8,2.5172,0.0
mp-1222174,Mg2ZnAs2,3.4815,0.0
mp-755638,Li7Ni5O12,2.6896,0.0
mp-774423,V3Cu(PO4)6,2.352,0.0
mp-777385,Li5Mn8(BO3)8,1.9502,0.0
mp-1215773,Zn3In2O6,2.2475,0.0
mp-761602,Li3Fe(CoO3)2,2.4863,0.0
mp-1176075,Li9Mn2Co5O16,2.5108,0.0
mp-5363,Hg2TeO5,2.6621,0.0
mp-770581,MgMnO3,2.9207,0.0
mp-1013545,Ca3BiAs,3.6265,0.0
mp-1174644,Li4MnCo2O7,2.5019,0.0
mp-778111,Li3Bi3P8O29,1.7679,0.0
mp-15645,Ag8SnS6,3.1167,0.0
mp-1175204,Li7Mn4CoO12,2.5018,0.0
mp-1176035,Li9Mn2Co5O16,2.5046,0.0
mp-1221632,MnCdS2,2.516,0.0
mp-754039,Y2V2O7,2.1527,0.0
mp-1663008,Li4Ti3V3(TeO8)2,2.2611,0.0
mp-757976,LiNiCO4,2.291,0.0
mp-1112018,K2InSbI6,2.3297,0.0
mp-555658,Bi2MoO6,2.6319,0.0
mp-1650937,Li7Mn4CoO12,2.3645,0.0
mp-1206828,Eu2YTaO6,2.2945,0.0
mp-849461,Na3MnO3,2.008,0.0
mp-773019,V12O29,2.4268,0.0
mp-1175593,Li9Mn2Co5O16,2.5386,0.0
mp-1105127,MnP4,4.3764,0.0
mp-1101036,Tl9SbTe6,4.5394,0.0
mp-1175970,Li9Mn2Co5O16,2.486,0.0
mp-555645,CuHgSBr,2.7198,0.0
mp-780543,Li2MnCr3O8,2.4059,0.0
mp-1198990,Na2PrGeO5,1.9173,0.0
mp-1173912,Li2MnCoO4,2.4361,0.0
mp-1313101,Li5Mn2CoO8,2.4846,0.0
mp-765901,Li4V4(OF3)3,1.8125,0.0
mp-1195693,P2PdPbO7,1.9601,0.0
mp-17667,Sr3AlSb3,3.2281,0.0
mp-759213,Li4MnV3O8,2.2765,0.0
mp-1220963,NaNdS2,2.3435,0.0
mp-6467,Na2CuP2O7,1.7542,0.0
mp-1649836,Li7Mn5O12,2.4073,0.0
mp-1232280,SmS2,2.9314,0.0
mp-1222077,Mn5Cu3(Te2O5)8,2.5774,0.0
mp-1197575,Ag2AsS2,3.0723,0.0
mp-570311,K4Sr2SnAs4,2.7687,0.0
mp-1202839,LiCd4(GeO3)5,1.9475,0.0
mp-1518107,KBaCeWO6,2.1473,0.0
mp-1216699,Tl3In5Se8,2.9946,0.0
mp-662549,Cs2GeTe4,2.8191,0.0
mp-16272,Ce(FeP3)4,4.6367,0.0
mp-1226418,Cs4Ga3FeS8,1.9851,0.0
mp-1220875,NaPrS2,2.344,0.0
mp-28943,Mn2BO4,2.2222,0.0
mp-753322,Li3Mn3O3F5,1.8252,0.0
mp-1192052,KTeO4,1.813,0.0
mp-851029,Li4Ti3Ni3(SnO8)2,2.4336,0.0
mp-1030721,Te3Mo2Se,2.8593,0.0
mp-1193050,CsSeO4,1.5951,0.0
mp-33498,Rb2CrCl4,3.1772,0.0
mp-18788,CrCoO4,2.2526,0.0
mp-10334,Pr(CdP)3,3.4938,0.0
mp-1265992,ZnCrSiO5,2.5467,0.0
mp-752451,Zn(CuO2)2,3.3804,0.0
mp-780407,Li2Mn3(BO3)3,2.0984,0.0
mp-775656,Li4Mn3Nb2V3O16,2.3614,0.0
mp-1190721,Nd3AlFeS7,2.82,0.0
mp-1219478,SbAsRh,5.366,0.0
mp-28353,NaTe,2.7981,0.0
mp-22871,ZrCl3,1.7876,0.0
mp-983597,Sm3SbO3,2.5724,0.0
mp-1192185,DyPS,3.5317,0.0
mp-510,TaO2,2.5688,0.0
mp-1176946,Li6MnV3(PO4)6,1.8927,0.0
mp-545506,GdZnPO,2.9235,0.0
mp-1191216,Cs4Fe2O5,1.9348,0.0
mp-768268,Li14Co2S9,2.151,0.0
mp-1232374,LaSiP3,3.3669,0.0
mp-753885,Li4Cr2Co3Sb3O16,2.1042,0.0
mp-770555,MnPO4,2.1207,0.0
mp-16989,K5SnAs3,2.7856,0.0
mp-1228573,Ba2CaY(Co4O7)2,2.2018,0.0
mp-1639498,Li7Mn4CoO12,2.3876,0.0
mp-780665,LiMn3(BO3)3,2.1854,0.0
mp-756028,V6O7F5,2.3496,0.0
mp-695081,Ca5Ho3Ti5Mn3O24,2.4926,0.0
mp-1105922,Ba2DyGaTe5,2.8672,0.0
mp-1195252,SrVCuHO5,2.5155,0.0
mp-981103,Sr3CdO4,2.1115,0.0
mp-1218254,SrLa3(NiO4)2,2.511,0.0
mp-17874,Sm2Cu(SeO3)4,1.9713,0.0
mp-756723,LiMn2O3F,2.7525,0.0
