material_id,formula,wyckoff,bandgap_pred_n0,bandgap_ale_n0,bandgap_target
mp-568146,Pd1 Se6 Br2,A2BC6_pearson_2_i_a_3i:Br-Pd-Se,1.1238,0.045,1.1012
wbm-1-43645,Ba1 Hf1 P2 O8,ABC8D2_pearson_164_a_b_di_d:Ba-Hf-O-P,4.3326,0.1086,4.52
mp-744322,Cr2 H16 N4 O8,AB8C2D4_pearson_12_i_4i2j_2i_2ij:Cr-H-N-O,2.6658,0.0739,2.9878
mp-769014,Ho4 Se6 O18,A2B9C3_pearson_2_2i_9i_3i:Ho-O-Se,4.1466,0.0887,3.9092
mp-763440,Li16 Mn2 O8 F4,A2B8CD4_pearson_2_2i_8i_be_4i:F-Li-Mn-O,3.0188,0.1043,2.6846
mp-1019541,Ba1 Ca3 O4,AB3C4_pearson_221_a_c_bd:Ba-Ca-O,2.9588,0.1578,2.3351
wbm-3-22071,Y2 Cu2 F8,AB4C_pearson_2_ae_4i_i:Cu-F-Y,1.1765,0.1054,1.34
mp-1173649,Na1 Ni2 H3 S2 O10,A3BC2D10E2_pearson_12_ai_c_e_3ij_i:H-Na-Ni-O-S,1.1592,1.2015,4.1079
mp-510305,Mn4 V4 Sb4 O24,AB6CD_pearson_60_c_3d_c_c:Mn-O-Sb-V,1.3767,0.1685,0.692
wbm-1-49653,La12 In12 S36,ABC3_pearson_14_3e_3e_9e:In-La-S,1.512,0.0615,1.96
wbm-3-59206,Sm4 P4 Se4,ABC_pearson_62_c_c_c:P-Se-Sm,0.1486,0.0284,0.15
mp-1517147,Ca2 Nd2 Eu2 Sb2 O12,ABCD6E_pearson_118_c_d_a_ei_b:Ca-Eu-Nd-O-Sb,0.0269,0.0632,0.0111
wbm-2-15636,K2 U1 F6,A6B2C_pearson_164_i_d_a:F-K-U,0.0951,0.0472,0.25
mp-1210130,Ni2 I4 O20,A2BC10_pearson_14_e_a_5e:I-Ni-O,0.3288,0.104,0.0084
mp-1210959,Li2 Gd2 Mo4 O16,ABC2D8_pearson_13_e_f_g_4g:Gd-Li-Mo-O,2.634,0.1805,2.9784
wbm-1-42266,La2 Fe1 Ge1 O6,ABC2D6_pearson_148_a_b_c_f:Fe-Ge-La-O,2.7348,0.0714,2.76
mp-676749,Li2 U1 Cl6,A6B2C_pearson_162_k_c_b:Cl-Li-U,0.1562,0.0424,0.1957
wbm-3-56152,Sr1 Th1 As2 O8,A2B8CD_pearson_5_c_4c_a_b:As-O-Sr-Th,3.8374,0.0699,3.79
wbm-3-22205,K2 Sb1 F5,A5B2C_pearson_8_a2b_2a_a:F-K-Sb,4.2142,0.0981,4.59
mp-765195,W2 O4 F2,AB2C_pearson_15_e_f_c:F-O-W,2.2987,0.0963,1.6563
mp-768747,Li14 Bi2 B4 O16,A2BC7D8_pearson_12_2i_i_ab2i2j_4i2j:B-Bi-Li-O,3.0453,0.3609,2.3887
mp-770286,Li6 Sn2 B4 O12,A2B3C6D_pearson_2_2i_3i_6i_i:B-Li-O-Sn,3.0596,0.254,1.7387
mp-1195744,Ba2 Er4 Si6 O20,AB2C10D3_pearson_11_e_f_2e4f_ef:Ba-Er-O-Si,4.7168,0.0945,4.8348
mp-1211905,K12 Li4 Ge16,A4B3C_pearson_62_2cd_cd_a:Ge-K-Li,0.4988,0.0822,1.0603
mp-1181130,I4 O24,AB6_pearson_14_e_6e:I-O,0.4952,0.1604,0.1771
wbm-4-25575,Ba2 Se2 O8,AB4C_pearson_63_c_fg_c:Ba-O-Se,3.612,0.1126,3.76
wbm-1-4976,Cs1 Sn1 B1 I2 F4,ABC4D2E_pearson_115_a_b_j_g_d:B-Cs-F-I-Sn,2.309,0.4022,1.95
wbm-3-50620,Yb2 P2 Cl2 O4,AB2CD_pearson_11_e_2e_e_e:Cl-O-P-Yb,3.3489,0.1357,3.16
mp-759988,Li6 Mn2 Fe6 O16,A3B3CD8_pearson_186_c_c_b_ab2c:Fe-Li-Mn-O,1.3053,0.1724,1.5574
mp-21036,Na2 Mn2 O4,ABC2_pearson_59_a_a_2b:Mn-Na-O,0.1544,0.0704,1.3232
mp-1173021,Ho6 Ta2 O14,A3B7C_pearson_67_cn_gno_a:Ho-O-Ta,1.8858,0.2685,2.0398
wbm-1-12956,Cu2 Hg1 Br4,A4B2C_pearson_121_i_d_a:Br-Cu-Hg,0.4723,0.0651,0.1
wbm-1-48682,Ca2 Pd2 S4,ABC2_pearson_63_c_a_g:Ca-Pd-S,0.6432,0.1012,0.58
mp-22720,Rb1 Sr2 Nb3 O10,A3B10CD2_pearson_123_bg_e2gi_c_h:Nb-O-Rb-Sr,1.42,0.0977,1.495
mp-1212720,K8 Pd12 Se8,A2B3C2_pearson_70_h_ch_h:K-Pd-Se,0.0483,0.0216,0.2309
wbm-2-35679,Mg1 P2 O6,AB6C2_pearson_162_a_k_d:Mg-O-P,3.9505,1.9799,5.72
mp-28662,Tl16 Sn8 Te24,AB3C2_pearson_62_d_2c2d_2d:Sn-Te-Tl,0.4983,0.0567,0.4362
mp-1013850,Li4 V8 P8 O36,AB9C2D2_pearson_62_c_5c2d_2c_ac:Li-O-P-V,1.5222,0.2557,1.4823
mp-1943,Ga4 Se4,AB_pearson_194_f_f:Ga-Se,1.3715,0.1258,1.2477
wbm-3-46551,Ba1 Na1 P1,ABC_pearson_216_a_b_c:Ba-Na-P,1.0471,0.1243,1.2
mp-1191609,V4 Fe2 Ag2 O14,ABC7D2_pearson_2_i_i_7i_2i:Ag-Fe-O-V,1.5608,0.3387,1.3457
mp-1097087,Hf1 Cd1 Au2,A2BC_pearson_71_e_a_b:Au-Cd-Hf,0.3494,0.0678,0.8869
wbm-2-21410,Cs2 Ga2 H8,ABC4_pearson_141_a_b_h:Cs-Ga-H,4.2523,0.1115,4.45
mp-23716,Ca4 Mn2 As4 H8 O20,A2B2C4DE10_pearson_14_e_e_2e_a_5e:As-Ca-H-Mn-O,2.6432,0.2356,2.2974
wbm-2-36747,Rb1 Ni1 Se2 O8,AB8CD2_pearson_2_b_4i_e_i:Ni-O-Rb-Se,1.0271,0.3714,1.02
wbm-4-36270,Si1 Se1,AB_pearson_160_a_a:Se-Si,0.3315,0.1152,0.29
wbm-2-20291,Ho2 Ge1 Br2,A2BC2_pearson_166_c_a_c:Br-Ge-Ho,0.1503,0.0205,0.16
wbm-1-4375,Ba2 Yb1 B2 O6,A2B2C6D_pearson_12_i_i_ij_a:B-Ba-O-Yb,3.6801,0.3156,4.15
mp-1222422,Lu2 Zr6 F30,A15BC3_pearson_15_e7f_e_ef:F-Lu-Zr,5.4111,0.1588,5.555
mp-1180795,K8 Al8 Si16,ABC2_pearson_142_f_f_g:Al-K-Si,1.4566,0.0878,0.0123
mp-1177898,Li4 Mn2 Fe2 O8,AB2CD4_pearson_15_a_bc_d_2f:Fe-Li-Mn-O,0.428,0.1448,1.2093
mp-551918,Al2 Bi2 O6,ABC3_pearson_161_a_a_b:Al-Bi-O,3.0764,0.0711,3.0207
wbm-1-41472,V1 Ga3 O4,A3B4C_pearson_44_ac_cd_b:Ga-O-V,1.7676,0.1378,1.67
wbm-2-52314,Cs4 Zn4 Sb4,ABC_pearson_62_c_c_c:Cs-Sb-Zn,0.0865,0.0515,0.01
mp-1204976,V4 Ag12 As4 O26,A6B2C13D2_pearson_15_3f_f_e6f_f:Ag-As-O-V,1.6122,0.0971,0.9909
mp-779435,Ga6 N2 O6,A3BC3_pearson_176_h_c_h:Ga-N-O,1.1983,0.1691,0.0096
wbm-3-53152,Ca2 Ta1 Ga1 O6,A2BC6D_pearson_12_i_a_ij_d:Ca-Ga-O-Ta,3.8469,0.0804,3.84
mp-1192210,Li8 Dy8 Sn8,ABC_pearson_186_ac_bc_bc:Dy-Li-Sn,0.014,0.0198,0.0044
mp-561599,Ba6 Nb4 Co2 O18,A3BC2D9_pearson_12_ai_c_i_beij:Ba-Co-Nb-O,0.724,0.2018,1.6989
mp-1210777,Na4 C4 N4 O8,ABCD2_pearson_14_e_e_e_2e:C-N-Na-O,4.8327,0.3549,1.5942
wbm-1-23503,Li2 Cu1 F5,AB5C2_pearson_2_b_e2i_i:Cu-F-Li,0.5991,0.087,0.59
mp-552292,Sm1 Bi2 I1 O4,A2BC4D_pearson_123_h_a_i_b:Bi-I-O-Sm,1.3605,0.0461,1.3305
mp-850211,Li32 Co4 O20 F4,ABC8D5_pearson_1_a_a_8a_5a:Co-F-Li-O,2.0036,0.1333,0.9286
mp-1292609,Li10 Mn4 Co2 O16,AB5C2D8_pearson_2_b_cdhi_i_4i:Co-Li-Mn-O,0.9227,0.2353,0.9632
mp-1200141,Ba6 Bi2 B18 O36,A9B3CD18_pearson_176_hi_af_b_2h2i:B-Ba-Bi-O,4.0644,0.088,4.2893
mp-31134,Pt12 Cl36,A3B_pearson_148_6f_2f:Cl-Pt,1.6139,0.183,1.0698
wbm-3-32719,Rb3 Cr1 H6,AB6C3_pearson_225_a_e_bc:Cr-H-Rb,2.0369,0.0765,2.08
wbm-3-58097,Yb1 Zn2 P2,A2BC2_pearson_139_e_a_d:P-Yb-Zn,0.2652,0.0635,0.05
mp-558580,Na4 Zn2 Si4 O12,A2B6C2D_pearson_15_f_ae2f_f_e:Na-O-Si-Zn,3.5748,0.094,3.6118
mp-1211784,K4 Ba8 I20,A2B5C_pearson_14_2e_5e_e:Ba-I-K,3.6864,0.0932,3.7158
mp-1218711,Sr10 V6 H2 O26,AB13C5D3_pearson_173_a_a4c_2bc_c:H-O-Sr-V,1.1089,1.0295,3.9935
mp-1025728,Te2 Mo3 Se4,A3B4C2_pearson_187_ah_2g_h:Mo-Se-Te,0.4418,0.1791,0.5469
mp-1097015,K4 Sn4 I12,A3BC_pearson_62_3c_c_c:I-K-Sn,2.1288,0.0566,1.9381
mp-23849,Li4 H4 S2 O10,A2B2C5D_pearson_4_2a_2a_5a_a:H-Li-O-S,5.734,0.5795,5.5917
mp-686705,Ca2 Nb4 Ga4 Cu6 O24,AB3C2D2E12_pearson_201_a_d_b_c_h:Ca-Cu-Ga-Nb-O,1.235,0.1635,0.2677
mp-720197,K16 Ge4 H16 N8 O12,AB4C4D2E3_pearson_14_e_4e_4e_2e_3e:Ge-H-K-N-O,3.2559,0.1198,2.4273
wbm-3-53538,Pr2 Cr1 Fe1 O6,ABC6D2_pearson_2_b_e_3i_i:Cr-Fe-O-Pr,1.0257,0.3191,1.86
mp-504677,Sr2 Pb2 F12,A6BC_pearson_131_acn_e_b:F-Pb-Sr,3.9811,0.0874,0.0083
wbm-3-22088,K2 Bi2 F8,AB4C_pearson_59_a_2e_a:Bi-F-K,4.9357,0.0984,4.98
mp-1191558,Mn1 Fe2 P2 O18,A2BC18D2_pearson_2_ac_f_9i_i:Fe-Mn-O-P,0.2292,0.1503,0.0865
wbm-1-38091,Y1 Al1 O3,AB3C_pearson_221_b_c_a:Al-O-Y,3.3276,0.1153,2.8
wbm-4-26310,Ca2 Y1 Sb1 O6,A2B6CD_pearson_12_i_ij_a_d:Ca-O-Sb-Y,3.6122,0.0503,3.61
mp-1096374,Tl1 Cu1 Pd2,AB2C_pearson_71_a_e_b:Cu-Pd-Tl,0.1939,0.1232,0.4951
mp-1228299,Ba6 Bi4 Ru2 O18,A3B2C9D_pearson_2_3i_aci_9i_i:Ba-Bi-O-Ru,0.0806,0.0427,0.4466
mp-1114684,Rb2 Sc1 Tl1 F6,A6B2CD_pearson_225_e_c_a_b:F-Rb-Sc-Tl,4.9448,0.1068,4.9932
mp-1191914,Li2 Sb2 Mo4 O16,AB2C8D_pearson_15_c_f_4f_e:Li-Mo-O-Sb,2.6798,0.1212,1.9482
mp-977414,Zn2 Cu4 Si2 S8,A2B4CD_pearson_31_b_2ab_a_a:Cu-S-Si-Zn,0.8372,0.185,1.2823
wbm-2-40408,Rb3 Ta1 Te4,A3BC4_pearson_217_b_a_c:Rb-Ta-Te,1.465,0.0859,1.51
mp-21390,La8 In4 Cu4 Se20,ABC2D5_pearson_62_c_c_2c_5c:Cu-In-La-Se,1.0836,0.1005,0.5091
wbm-1-52352,Hf1 Se2,AB2_pearson_42_a_c:Hf-Se,0.2621,0.0292,0.47
mp-23324,Bi4 S4 Br4,ABC_pearson_62_c_c_c:Bi-Br-S,2.0381,0.0547,2.0352
mp-1192030,Co4 H8 Cl8 O4,A2BC2D_pearson_62_2c_c_2c_c:Cl-Co-H-O,1.8598,0.4891,0.813
wbm-1-44767,V2 Br4 O2,A2BC_pearson_5_2c_c_c:Br-O-V,1.316,0.0841,1.09
mp-1218564,Sr4 Al6 Cr1 O16,A6BC16D4_pearson_119_abi_c_h3i_g:Al-Cr-O-Sr,0.3328,0.6731,2.6143
mp-570084,Hg6 As2 Se8 I2,AB3CD4_pearson_186_a_c_b_bc:As-Hg-I-Se,1.2313,0.0514,1.2214
mp-989624,Ti4 P4 N12,A3BC_pearson_15_3f_f_2e:N-P-Ti,0.5403,0.0675,0.5323
wbm-4-10462,Dy1 Cr1 F6,ABC6_pearson_12_a_d_ij:Cr-Dy-F,3.7532,0.0731,3.87
wbm-1-52872,Pt1 Se6 Br2,A2BC6_pearson_2_i_a_3i:Br-Pt-Se,1.4161,0.0456,1.25
wbm-3-72114,Si4 Ru4 S4,ABC_pearson_29_a_a_a:Ru-S-Si,1.5438,0.0778,0.17
wbm-1-38043,Al2 Ga2 O6,ABC3_pearson_194_a_c_bf:Al-Ga-O,2.616,0.0668,2.67
mp-570587,Cd4 H32 C8 N4 Cl12,A2BC3D8E_pearson_14_2e_e_3e_8e_e:C-Cd-Cl-H-N,4.0448,0.1804,4.0526
mp-1521501,Ca1 Tb1 Eu1 V1 O6,ABC6DE_pearson_216_c_d_f_a_b:Ca-Eu-O-Tb-V,0.0325,0.0222,0.0181
mp-778241,Li2 V3 F8,A8B2C3_pearson_166_ch_c_d:F-Li-V,1.9506,0.0937,2.2001
mp-864766,Na2 Mg2 S2 O8 F2,ABCD4E_pearson_15_e_a_e_2f_e:F-Mg-Na-O-S,1.4971,1.2084,5.5905
mp-755536,Rb4 Fe4 O8,AB2C_pearson_33_a_2a_a:Fe-O-Rb,2.0006,0.201,1.6622
mp-850528,V6 P4 O16,A8B2C3_pearson_14_4e_e_ae:O-P-V,1.2385,0.3942,2.3649
wbm-1-44155,Cs2 Nb1 Tl1 O1 F5,A2B5CDE_pearson_107_b_ac_a_a_a:Cs-F-Nb-O-Tl,0.5668,0.1768,1.05
mp-1517107,Ba1 Ca1 Tb1 Sb1 O6,ABC6DE_pearson_216_c_d_f_a_b:Ba-Ca-O-Sb-Tb,3.3497,0.0485,3.338
wbm-3-65090,K2 Hg1 Ge1 S4,ABC2D4_pearson_5_a_b_ab_2c:Ge-Hg-K-S,2.0107,0.0434,1.88
mp-30314,Cs4 Pd2 Cl8,A4B2C_pearson_63_ef_g_a:Cl-Cs-Pd,1.7917,0.1072,1.85
wbm-2-16345,Cs3 Ti1 F6,A3B6C_pearson_69_af_gm_b:Cs-F-Ti,3.5896,0.1216,0.2
mp-776549,Li16 Fe2 O10 F2,ABC8D5_pearson_173_b_a_2b2c_abc:F-Fe-Li-O,2.4027,0.1348,2.9946
mp-1223912,In1 Ga1 Ag2 Te2 Se2,A2BCD2E2_pearson_5_ab_a_b_c_c:Ag-Ga-In-Se-Te,0.0753,0.0284,1.0227
wbm-4-16660,Ba4 I8,AB2_pearson_166_ab_2c:Ba-I,1.8629,0.3759,3.8
wbm-3-65035,Eu1 Ag2 Ge1 S4,A2BCD4_pearson_23_f_a_b_k:Ag-Eu-Ge-S,0.2022,0.0661,0.08
wbm-1-52983,Pb4 Se1 I6,A6B4C_pearson_8_6a_4a_a:I-Pb-Se,1.7312,0.0867,1.81
mp-1223169,La3 Y1 Hf4 O14,A4B3C14D_pearson_166_ad_e_c2h_b:Hf-La-O-Y,3.7603,0.1413,0.2984
mp-1213009,Dy4 Tl4 Mo8 O32,AB2C8D_pearson_60_c_d_4d_c:Dy-Mo-O-Tl,3.277,0.0464,3.2866
mp-675531,Na2 Bi2 S4,ABC2_pearson_43_a_a_b:Bi-Na-S,1.6507,0.0609,1.4261
mp-558981,Sr4 Be8 B8 O24,A2B2C6D_pearson_14_2e_2e_6e_e:B-Be-O-Sr,5.1878,0.2673,5.3553
wbm-3-64211,Er2 Cu2 Sn2 S6,ABC3D_pearson_11_e_a_ef_e:Cu-Er-S-Sn,1.3627,0.0337,1.33
wbm-3-7867,Mg1 Sc2 B2 O6,A2BC6D2_pearson_2_i_a_3i_i:B-Mg-O-Sc,3.0311,1.2332,2.34
mp-1147699,Ba8 Ti2 Cu6 O18,A4B3C9D_pearson_223_e_b_cf_a:Ba-Cu-O-Ti,0.7915,0.1643,0.2848
mp-559645,K4 Th4 P12 O40,AB10C3D_pearson_19_a_10a_3a_a:K-O-P-Th,4.5051,0.2894,5.0385
wbm-1-50012,Rb2 Co3 S4,A3B2C4_pearson_69_ac_g_n:Co-Rb-S,0.561,0.0755,0.75
mp-27843,Zn8 Ge12 O32,A3B8C2_pearson_212_d_ce_c:Ge-O-Zn,2.4378,0.0964,2.347
mp-8876,Ca4 Al6 S1 O12,A6B4C12D_pearson_217_d_c_g_a:Al-Ca-O-S,3.328,0.2254,3.9774
wbm-5-13894,Zr1 Pb1 N2,A2BC_pearson_166_c_a_b:N-Pb-Zr,0.6258,0.068,0.21
mp-997011,Cu2 Br2 O4,ABC2_pearson_20_a_b_c:Br-Cu-O,0.3554,0.1375,0.4422
wbm-1-40141,Yb2 Pt2 O6,A3BC_pearson_63_cf_a_c:O-Pt-Yb,1.5641,0.0644,1.22
mp-601867,Ba12 Sn8 P16,A3B4C2_pearson_14_3e_4e_2e:Ba-P-Sn,0.9989,0.1125,0.8692
mp-755438,Li2 Fe4 O4 F6,A3B2CD2_pearson_8_6a_4a_2a_4a:F-Fe-Li-O,1.6709,0.1924,1.5467
wbm-1-23149,K4 Sn4 I12,A3BC_pearson_62_cd_c_a:I-K-Sn,0.5016,0.0623,1.08
mp-559550,Si6 O12,A2B_pearson_148_2f_f:O-Si,5.6274,0.1522,5.8254
wbm-1-11744,Co2 I6,AB3_pearson_12_g_ij:Co-I,0.4266,0.0736,0.72
wbm-2-43317,La2 S2 Cl2,ABC_pearson_129_a_c_b:Cl-La-S,1.7405,0.0874,2.73
wbm-2-45032,Sr2 Gd2 Ag2 Se6,ABC3D_pearson_63_c_a_cf_c:Ag-Gd-Se-Sr,0.9138,0.0538,0.92
wbm-1-58684,Ti4 Se8,A2B_pearson_20_2c_c:Se-Ti,0.2838,0.0503,0.11
wbm-2-35561,Ba2 Nd1 Fe1 O6,A2BCD6_pearson_225_c_a_b_e:Ba-Fe-Nd-O,0.1389,0.0318,0.01
mp-1189929,Li4 Pt2 F12,A6B2C_pearson_14_3e_e_a:F-Li-Pt,0.7345,0.1577,2.5122
wbm-2-23018,K4 Zn2 Sn2,A2BC_pearson_63_g_c_a:K-Sn-Zn,0.3025,0.0487,0.32
mp-27007,Li2 Fe4 P6 O20,A2BC10D3_pearson_11_f_a_4e3f_3e:Fe-Li-O-P,3.5057,0.3175,3.155
mp-1176936,Li12 Ti4 O14,A6B7C2_pearson_14_3e_a3e_e:Li-O-Ti,3.5016,0.562,2.3414
wbm-2-33621,La3 O6,AB2_pearson_2_ai_3i:La-O,2.9687,0.2752,0.39
wbm-2-10678,Te1 As1 Cl1,ABC_pearson_156_a_b_c:As-Cl-Te,1.1874,0.0732,1.32
wbm-1-16341,Si4 S1 F6,A6BC4_pearson_146_2b_a_ab:F-S-Si,3.5573,0.344,3.01
mp-756418,Fe3 Co5 O16,A5B3C16_pearson_10_cmn_dn_4m4n:Co-Fe-O,0.4837,0.2833,0.1269
mp-1105277,Al2 H2 S2 O10,ABC5D_pearson_15_a_e_e2f_e:Al-H-O-S,5.3314,0.1497,5.6943
wbm-3-22873,K3 Co1 F6,AB6C3_pearson_2_b_3i_ei:Co-F-K,2.299,0.1367,2.9
wbm-4-28029,Hf1 Zr1 Ge2 O7,A2BC7D_pearson_5_c_a_b3c_a:Ge-Hf-O-Zr,1.0056,0.2142,0.67
mp-722864,H12 Pt1 N6 Cl2 O6,A2B12C6D6E_pearson_2_i_6i_3i_3i_a:Cl-H-N-O-Pt,2.5261,0.0707,2.2619
wbm-2-38020,Rb4 Zn2 P4,A2B2C_pearson_11_2e_2e_a:P-Rb-Zn,0.8094,0.0954,0.35
mp-1222111,Mg4 Co4 Si4 O16,ABC4D_pearson_62_c_a_2cd_c:Co-Mg-O-Si,1.6483,0.2198,2.5985
mp-1194337,Sr4 Lu8 Se16,A2B4C_pearson_62_2c_4c_c:Lu-Se-Sr,1.4891,0.0505,1.4461
mp-644729,Ag8 N24 O32,AB3C4_pearson_61_c_3c_4c:Ag-N-O,2.3151,0.1441,1.9626
mp-7137,Li4 Tb4 O8,AB2C_pearson_62_c_2c_c:Li-O-Tb,4.099,0.1081,4.5528
mp-755892,Sr2 La4 Cl16,A8B2C_pearson_82_4g_g_ac:Cl-La-Sr,3.4039,0.2786,3.8396
wbm-2-36933,La2 Ag2 Te2 O2,ABCD_pearson_129_a_c_b_c:Ag-La-O-Te,1.4431,0.0696,1.51
mp-1519664,Ba4 Na4 La4 W4 O24,ABCD6E_pearson_48_ab_e_cd_3m_f:Ba-La-Na-O-W,3.036,0.0716,3.0445
mp-1180458,Na2 Fe1 Cu1 C6 N6,A6BCD6E2_pearson_10_mo_b_c_mo_eh:C-Cu-Fe-N-Na,2.404,1.2937,0.6184
wbm-3-39901,Cs2 Mg1 Sn1 Se4,A2BC4D_pearson_121_c_a_i_b:Cs-Mg-Se-Sn,1.8381,0.0461,1.86
mp-989551,Li1 Tl2 In1 F6,A6BCD2_pearson_225_e_a_b_c:F-In-Li-Tl,4.0193,0.2177,4.0416
mp-771251,Li5 V2 Co5 O12,A5B5C12D2_pearson_5_a2bc_a2c_6c_ab:Co-Li-O-V,0.9817,0.1906,0.4779
wbm-1-20733,H4 I1 N1,A4BC_pearson_215_e_a_b:H-I-N,2.9481,0.1839,3.4
wbm-2-41975,Tb2 S4 Cl4,A2B2C_pearson_12_j_2i_g:Cl-S-Tb,1.4914,0.0582,1.59
mp-1227492,Bi1 Pb2 F7,AB7C2_pearson_139_a_bdg_e:Bi-F-Pb,3.0916,0.4921,2.6615
mp-17523,Na4 Cr4 F16,AB4C_pearson_14_e_4e_e:Cr-F-Na,3.1396,0.0978,3.2291
mp-5114,K12 Hg2 S8,AB6C4_pearson_186_b_2c_bc:Hg-K-S,1.7596,0.0535,1.7153
wbm-1-7684,Yb4 C4 O12,AB3C_pearson_14_e_3e_e:C-O-Yb,0.5535,1.1357,4.78
wbm-3-23803,Rb1 Ga2 F7,A7B2C_pearson_65_ahp_g_c:F-Ga-Rb,4.5328,0.0747,3.64
mp-1174058,Li4 Mn1 Co3 O8,A3B4CD8_pearson_2_bcd_2i_h_4i:Co-Li-Mn-O,0.117,0.1099,0.4469
mp-1193815,Ho8 Pb4 S16,A2BC4_pearson_62_2c_c_4c:Ho-Pb-S,2.2909,0.0578,2.2585
wbm-1-40043,V8 Ag8 O24,AB3C_pearson_57_cd_cd2e_e:Ag-O-V,1.7503,0.2096,1.75
mp-1574416,Na12 V4 P4 C4 O28,AB3C7DE_pearson_11_e_ade_5ef_e_e:C-Na-O-P-V,1.1077,1.1988,2.5231
wbm-4-27499,Sr2 Yb1 Se1 O6,A6BC2D_pearson_148_f_a_c_b:O-Se-Sr-Yb,2.4832,0.1121,2.44
mp-625406,La2 H6 O6,A3BC3_pearson_11_3e_e_3e:H-La-O,3.8441,0.1443,3.839
mp-1192719,Yb4 Sb8 Se16,A2B4C_pearson_62_2c_4c_c:Sb-Se-Yb,0.6775,0.1653,0.7628
mp-753069,La1 Bi5 O9,A5BC9_pearson_8_5a_a_9a:Bi-La-O,0.6877,0.2613,1.5123
wbm-2-35449,Lu2 Cd1 W1 O6,AB2C6D_pearson_87_a_d_eh_b:Cd-Lu-O-W,0.9913,0.1361,0.57
wbm-3-32033,Rb2 H2 Pt1,A2BC2_pearson_139_e_a_e:H-Pt-Rb,1.6896,0.0828,1.47
wbm-1-50466,Rb2 S1 Cl6,A6B2C_pearson_225_e_c_a:Cl-Rb-S,2.1926,0.1147,2.32
mp-1191980,Na4 Ge2 O18,AB2C9_pearson_4_a_2a_9a:Ge-Na-O,0.1979,0.1082,0.4579
mp-776618,Li4 V1 Cr3 O8,A3B4C8D_pearson_12_ah_ei_2ij_b:Cr-Li-O-V,1.3935,0.2543,1.8945
wbm-1-6411,Hf2 Br8,A4B_pearson_13_2g_e:Br-Hf,3.3648,0.0874,3.28
mp-989552,La2 Mo2 N6,ABC3_pearson_161_a_a_b:La-Mo-N,1.0539,0.0646,1.2125
wbm-1-45811,Ba2 P1 I1,A2BC_pearson_164_d_a_b:Ba-I-P,1.1132,0.0701,1.41
mp-997106,Ag2 Rh2 O4,AB2C_pearson_194_c_f_a:Ag-O-Rh,0.3689,0.062,0.4989
mp-1213022,Er4 Rh4 O12,AB3C_pearson_62_c_cd_a:Er-O-Rh,0.9949,0.0447,0.9962
mp-1204727,Cs12 Bi8 Cl36,A2B9C3_pearson_62_2c_3c3d_3c:Bi-Cl-Cs,4.0378,0.1385,3.1025
mp-754591,Fe6 O4 F8,A4B3C2_pearson_2_4i_ae2i_2i:F-Fe-O,1.3658,0.2964,0.0615
mp-1101351,Sr12 Ge4 O20,AB5C3_pearson_130_b_cg_cf:Ge-O-Sr,3.245,0.1182,3.0314
mp-24822,Na10 Al6 H28,A3B14C5_pearson_128_ac_ehi_bg:Al-H-Na,3.0361,0.146,2.5979
