material_id,formula,bandgap_pred_n0,bandgap_target
wbm-1-59738,Y2 Ru1 Os1,0.0006,0.0
wbm-2-3757,Nd2 As4 Pd4,0.0005,0.0
wbm-3-67805,Eu2 Ho2 Ag2 Se6,0.0006,0.27
mp-1184736,Ho1 Cu1 O3,0.0007,0.0
wbm-1-3060,Al1 V1 Zn2,0.0005,0.0
mp-1222721,La1 Ti1 Al1 Pb1 O6,1.8373,2.5888
mp-1208880,Sm8 Si4 O20,4.8117,4.8314
wbm-3-3040,Mn1 Al5 Ir1,0.0005,0.0
mp-756653,Li4 V4 Si4 O16,1.5454,1.9255
wbm-5-2244,Al2 Sn1 B6,0.0005,0.0
wbm-4-35851,Pr2 In1 Si1,0.0006,0.0
wbm-2-8325,In2 Fe2 Si2 C1,0.0006,0.0
mp-551613,Ba2 Cu1 W1 O6,0.0007,0.0
wbm-2-39345,Pr4 V4 P4,0.0005,0.0
wbm-2-24855,Li1 Th3 S6,0.0007,0.0
wbm-2-12295,Y4 Co4 Sb4,0.0005,0.0
wbm-1-24894,Li1 Cu2 Sn1,0.0006,0.0
wbm-3-53276,Ca2 Sc1 Pd1 O6,0.0007,0.0
wbm-1-43111,Cs1 La1 Ta2 O7,2.1542,2.24
wbm-4-2386,Nd4 Al2 Ir4,0.0006,0.0
mp-7808,Ba2 P6,0.9272,0.5677
mp-675634,K1 Bi2 F7,4.612,4.7189
mp-1226112,Co5 Sn2 As2,0.0006,0.0
wbm-3-60595,Pr1 Ir7,0.0006,0.0
wbm-4-6457,Ce1 Er1 Tl2,0.0006,0.0
mp-27302,Tm8 Cl16,0.0007,0.0
wbm-1-18501,Zr2 Ga6,0.0006,0.0
mp-24818,Li4 Be4 H12,5.0444,4.8943
mp-1190719,Bi16 Mo6,0.0006,0.0
mp-554970,Rb4 Te2 W6 O24,2.824,3.2896
wbm-3-3540,La4 Al4 As4,0.0006,0.0
wbm-4-19626,Mg2 Ga4 Ru2,0.0006,0.0
wbm-1-60392,Y1 Zr1 Zn2,0.0005,0.0
mp-768946,Li8 Cr6 Co2 O16,0.7628,0.8766
mp-1201654,Cu6 P6 H6 O24,0.0005,0.7224
mp-1643671,Li4 Cr2 Co4 O12,0.2847,0.7232
wbm-2-51,Eu1 Ag2 Sb1,0.0005,0.0
wbm-1-58999,Mn1 V2 Mo1,0.0005,0.0
wbm-4-24731,U2 Ni1 Ru2,0.0006,0.0
wbm-2-28443,Pu1 Cd1 N2,0.0006,0.0
wbm-5-3527,Ca2 Sn1,0.0006,0.0
wbm-1-21458,H1 Pd2,0.0006,0.0
mp-1179469,Ti1 Fe1 Bi2 O6,2.3647,1.2606
mp-1516983,Ba1 Ca1 Gd1 Nb1 O6,2.7273,2.5616
wbm-5-23283,Dy2 Zr2 Sn2,0.0006,0.0
mp-1094853,Li2 Mg2,0.0006,0.0
mp-1227604,Ba2 Sr2 V8 Ni8 O32,0.0006,3.2313
wbm-5-11620,Lu2 Mg4 Co2,0.0006,0.0
mp-6958,Tl1 Sb1,0.0006,0.0
wbm-4-6241,Er8 Cd4,0.0006,0.0
mp-1113737,Rb2 Lu1 Ag1 Cl6,3.6298,3.7147
mp-1518694,Sr4 Tb4 Eu4 Co4 O24,0.0006,0.0591
wbm-2-8899,Ca1 Zn1 Cu4,0.0006,0.0
wbm-3-41179,Mn6 Sb2 Pb4,0.0006,0.0
wbm-1-30434,K2 Ni1 N2 Cl2 O4,2.4637,2.69
wbm-5-1052,Np1 Al5 Cu1,0.0006,0.0
wbm-1-60494,Zn6 Sb2,0.0006,0.0
mp-8840,Na10 In2 O8,1.9542,1.774
wbm-1-26363,Li1 Lu1 Se2,1.6752,1.74
wbm-4-36018,Ac1 Si1 Pd2,0.0006,0.0
wbm-4-4735,Ta1 Br2,0.0006,0.0
wbm-3-28953,Pu2 Ga2 Pd4,0.0006,0.0
mp-1209035,Sc2 N2 F8,0.2539,0.0048
wbm-1-31827,Cu1 Rh3 N1,0.0007,0.0
wbm-5-15577,U2 Al2 As2 O2,0.0005,0.0
mp-559719,Li4 Pr4 S8 O32,5.582,5.3098
wbm-2-29321,Eu3 Al1 N1,0.0006,0.0
mp-33104,Sm4 O2,0.0006,0.0
wbm-4-38051,Tm2 Ir1,0.0006,0.0
wbm-3-47390,Ho2 Cd1 Ni2,0.0006,0.0
wbm-3-27607,La1 Ga2 Pd3,0.0005,0.0
mp-1934,Li2 Zn2,0.0006,0.0
wbm-3-72017,Sc3 Si3 Pd3,0.0005,0.0
mp-1220237,Nd6 Mn1 Si2 S14,0.9619,1.0803
mp-1204197,Ba10 Mn6 O24 F2,1.5177,1.8859
wbm-3-34053,Ho4 In6 Os2,0.0006,0.0
wbm-3-4721,Er2 Al2 Ni4,0.0006,0.0
mp-619206,Sr2 Ca4 In4 Ge2,0.0006,0.0
wbm-1-22789,K2 Bi4,0.0006,0.0
wbm-3-32877,Ca1 Fe1 Co2 H8,0.0005,0.0
wbm-3-11035,Sc2 W2 C3,0.0006,0.0
mp-1209604,Pr6 Ga24 Os6,0.0005,0.0
wbm-3-40482,U2 Mn4 Cu2,0.0006,0.0
mp-2294,Al6 Ir2,0.0006,0.0
wbm-5-21263,Yb2 Sn2 Pt2,0.0006,0.0
wbm-3-47787,Hf2 In2 Ni4,0.0006,0.0
wbm-3-20507,Np2 Ga4 Cu2,0.0006,0.0
mp-1197758,Tm3 Fe18 Ge18,0.0006,0.0
wbm-2-35968,Ba2 Tb1 Ru1 O6,0.0006,0.19
mp-32761,Si6 O6,4.602,0.0
wbm-2-30888,Na1 Sc2 Ge1,0.0006,0.0
wbm-2-47032,Np2 Cd1 Si1,0.0006,0.0
wbm-4-36171,Pa2 Si2 Ru4,0.0006,0.0
wbm-1-45458,Ba2 P1 Au1,0.7821,0.92
wbm-1-55703,Sr4 Si4 Pt4,0.0005,0.0
wbm-2-11009,Pr1 Co2 Rh3,0.0006,0.0
wbm-3-29883,Nd2 Ge4 Pd6,0.0006,0.0
mp-980200,Zn6 Rh2,0.0006,0.0
wbm-2-28725,Yb1 Zn2 N2,0.0082,0.6
wbm-1-50550,Cu6 S2,0.0005,0.0
wbm-2-8213,Gd2 C2 O2,0.0487,2.26
mp-1216575,Tl4 Bi1,0.0006,0.0
mp-1075973,Sm1 Mn1 O3,0.0007,0.0
wbm-3-55928,Ba1 Tb1 Si2 O7,0.0007,0.0
wbm-2-47761,Si1 P2 Se6,0.7603,1.12
wbm-3-50627,P2 Pb2 I2 O4,1.7513,1.41
mp-1104519,Tm2 Ni8 As4,0.0005,0.0
wbm-3-21485,Ba1 Cu1 Te2,0.0006,0.0
wbm-3-27998,U1 Ga3 Ir2,0.0006,0.0
wbm-2-32547,Ga1 Ni1 Pd2,0.0006,0.0
mp-1095885,Li1 Y2 Tc1,0.0006,0.4318
wbm-3-46256,Na1 Yb1 Cu2 As2,0.0006,0.0
mp-976930,Ni6 As2,0.0005,0.0
wbm-3-36557,Li3 Co2 Bi1 O6,0.003,0.69
mp-1218470,Sr1 Ca1 Ni8 Sn4,0.0005,0.0
wbm-1-43937,Se4 Cl8 O4,3.1293,3.35
wbm-3-14286,Sm1 Cd1 Pt2,0.0005,0.0
wbm-4-37299,Sr1 Nd1 Sn2,0.0006,0.0
wbm-2-12665,Cr1 Ge1 Rh2,0.0005,0.0
mp-1025503,Cr6 Co2,0.0006,0.0
mp-1187373,Tb2 Pr6,0.0007,0.0
mp-1519457,K1 Ba1 La1 W1 O6,3.0607,2.9378
mp-866662,K5 La4 Si4 O16 F1,4.5586,4.6605
mp-1036522,Sr1 Mg14 Al1 O16,0.0005,0.0
wbm-3-76415,Y2 Sn4 Ru4,0.0006,0.0
wbm-3-77050,Ba2 Zn4 Sn4,0.0005,0.0
wbm-2-22168,Ho2 Ir1 Os1,0.0006,0.0
wbm-1-26123,Li1 Hg1 Rh2,0.0005,0.0
mp-29318,P4 W12 O44,1.2203,0.0
wbm-3-16246,Dy4 Co6 Ge2,0.0006,0.0
wbm-1-61411,Zr2 Cd1 Sn1,0.0006,0.0
wbm-2-20525,Nb2 Ge1 Pt1,0.0005,0.0
wbm-1-41002,Nb2 In2 O8,2.5605,3.18
wbm-3-46921,Na1 Tb2 Pt1,0.0006,0.0
wbm-1-12985,Yb1 Cd1 Cu2,0.0006,0.0
mp-1516503,K1 Hf1 Nb1 In1 O6,0.6227,0.0
wbm-3-31517,Sm2 Ge2 Rh2,0.0006,0.0
mp-1185323,Li1 Hf1 Au2,0.0006,0.0
wbm-3-54270,Ba2 Sm1 Mo1 O6,0.9265,0.91
mp-1522449,K1 Sm1 Ti4 O12,1.8803,0.0
wbm-2-28846,Er2 Fe2 N6,0.0006,0.0
wbm-2-31298,Np1 Ni2 As2,0.0006,0.0
wbm-3-67126,Sc1 Mn1 Zn4,0.0006,0.0
wbm-1-46832,Er1 Pd5,0.0006,0.0
wbm-2-41881,Ta2 Ru1 Pt1,0.0006,0.0
wbm-1-3797,Hf2 Te2 As2,0.0006,0.0
mp-1221112,Na4 Ca4 N12,0.0006,0.0
mp-675929,Ti1 Fe2 Se4,0.0005,0.0
wbm-2-44942,Ta2 Pd4 Se6,0.0006,0.0
wbm-2-5221,Dy1 Sn1 B2 O6,0.0006,0.0
mp-17719,La6 Si2 Ag2 S14,1.8779,2.0024
wbm-5-20894,Tb1 Ce1 Sn2,0.0006,0.0
wbm-3-68749,Hf2 Si4 Os2,0.0006,0.0
mp-568423,Al4 P4 I32,1.6465,1.4268
wbm-3-74933,Ti2 In4 Pt2,0.0006,0.0
wbm-2-18111,Fe2 Sb4,0.0005,0.0
mp-1077854,Rh3 Pb2 Se2,0.0005,0.0
mp-1113761,Rb2 In1 Ag1 Cl6,1.2865,1.3232
wbm-3-18653,Nb2 Cr2 Ga2,0.0005,0.0
mp-1224185,In6 Co2,0.0006,0.0
wbm-1-2363,La2 Al1 Ni2,0.0006,0.0
wbm-1-33971,Nb6 Sb4,0.0006,0.0
mp-3742,Sr2 Fe24 O38,0.616,1.1402
wbm-2-49558,Sr4 Te4,1.974,1.86
wbm-3-27459,Ce4 Ga8,0.0006,0.0
mp-979987,Yb1 Th1 Pt2,0.0006,0.0
wbm-3-51576,Th2 V2 O6,1.035,1.06
wbm-4-17434,K2 Co2 Sn4,0.0006,0.0
mp-1195647,Na2 Y2 B8 H32,6.2479,5.8185
wbm-5-16765,Th1 Np1 Pb2,0.0006,0.0
wbm-3-6545,U1 As1 Pd2,0.0006,0.0
wbm-2-45340,Th4 Si4 Au2,0.0006,0.0
wbm-5-22407,Yb6 Au2,0.0005,0.0
mp-1094533,Mg3 Sb3,0.0006,0.0
wbm-2-26588,Mg1 Ag1 Rh2,0.0005,0.0
wbm-3-14718,Nd3 In1 Cl3,0.0006,0.0
mp-541055,Cs8 Se20,0.6392,0.9618
wbm-2-18060,Pu2 Fe1 Pt1,0.0006,0.0
mp-1202398,Ge4 C16 N4 Cl12,-0.0008,0.0
wbm-1-31203,Sr2 Os2 N6,0.0006,0.0
wbm-3-12376,Ca4 Fe4 Pb2,0.0005,0.0
mp-1018089,Ca1 Zn1 Se2,1.9486,2.2537
wbm-3-73137,Ho2 Sn2 Ir2,0.0005,0.0
wbm-3-8161,U3 Zn7 B2,0.0006,0.0
mp-1100423,V1 Ge1 Rh1,0.0005,0.0
wbm-2-34718,Fe3 Ni1 O4,0.0005,1.25
mp-755399,Li2 Cu1 Sn1 O4,0.2411,0.2364
wbm-5-5556,Lu3 Cu2 Ru1,0.0005,0.0
wbm-3-70177,Tm3 Si4 Os4,0.0005,0.0
mp-1095618,Pt4 N8,0.0006,1.6653
wbm-2-8791,Ca2 Br8,0.1412,1.88
wbm-2-14395,Eu1 Cu1 Se2,0.0005,0.0
mp-1201386,Se8 N8 O20,0.0006,0.0082
wbm-5-23148,Yb1 Zn1 Pt4,0.0006,0.0
wbm-2-29976,Y4 I6 N2,1.2177,1.23
mp-1198809,Cu8 C4 O20,0.0007,0.0043
wbm-3-57948,Rb1 Re2 P2,0.0005,0.0
wbm-3-18809,Mn1 Cr1 Rh2,0.0006,0.0
wbm-3-31974,Lu4 H8,0.0006,0.0
mp-1227147,Ca2 Sm2 Co2 O8,0.248,1.0925
wbm-2-30044,Na4 Fe2 Pb2,0.0005,0.0
wbm-2-28680,Sr7 Sn3 N2,0.0006,0.0
wbm-4-2435,Gd1 Al1 Cu1 Ni1,0.0005,0.0
wbm-1-53396,Eu4 Si8,0.0006,0.0
wbm-3-44597,Hf3 Fe2 N6,0.0005,0.0
wbm-3-75971,V2 Sn4 Ir2,0.0006,0.0
mp-1184839,Ho1 In1 Rh2,0.0005,0.0
mp-559339,Sr8 Tl3 Cr1 Cu4 O20,0.0006,0.0
wbm-2-24697,Li1 Bi1 Pb2,0.0006,0.0
wbm-2-23323,K1 Mn4 As3,0.0006,0.0
wbm-1-21816,Sm2 I6,3.1719,3.08
wbm-4-17152,Sm2 In1 Ir2,0.0005,0.0
wbm-3-78428,Lu3 Zn3 Ru3,0.0005,0.0
mp-542858,Zn6 Co4 C24 N24,0.0007,4.3564
wbm-4-13972,Ce2 Ga1 Rh1,0.0006,0.0
wbm-2-36316,Ca1 Tb1 Ge2 O7,0.0007,0.0
mp-1112196,K2 Hg1 Sb1 Cl6,0.0006,0.0
wbm-3-282,Ag4 I8,0.0006,0.0
mp-1215265,Zr1 In1,0.0006,0.0
mp-865401,Tm2 Zn1 Tc1,0.0005,0.0
wbm-4-31602,Dy4 Hg2 Ru4,0.0006,0.0
mp-1189329,Y12 Co4,0.0006,0.0
mp-1217344,Th4 Si2 Ge2,0.0006,0.0
wbm-3-54027,Nd2 Mg1 Ir1 O6,0.0006,0.0
wbm-2-38235,Sm2 P1 Cl2,0.0006,0.0
wbm-3-63931,Ba2 Dy2 Au2 S6,1.6877,1.61
wbm-3-13364,Ca1 Mn1 Au2,0.0005,0.0
mp-1013553,Sr3 As1 P1,0.0006,0.5256
wbm-4-14243,Zr2 Ga1 Ir2,0.0006,0.0
mp-25408,Li2 Mn2 P2 C2 O14,1.0209,0.9114
mp-1183665,Cd3 Se1,0.0005,0.0
wbm-3-67287,Sc1 Tl5 Rh1,0.0006,0.0
mp-1187087,Sr2 Li1 Cd1,0.0006,0.0
wbm-2-47094,Zr2 Co4 Si2,0.0006,0.0
wbm-3-41500,Y2 Mn2 Br2,0.0005,0.0
mp-766563,Mn2 V3 Co1 P6 O24,0.0005,0.0
mp-11601,Na1 Er1 O2,4.3378,4.0701
wbm-1-29629,Mn2 Ge2 As4,0.0005,0.0
wbm-1-16218,Rb2 Gd1 F6,0.0009,0.0
wbm-3-9677,Ta2 B2 Rh2,0.0006,0.0
mp-1206900,Tl2 Ni1 Se2,0.0005,0.0
wbm-4-13917,Pr2 Ga2,0.0006,0.0
wbm-3-7688,Ce3 Zn2 B2 N3,0.0005,0.0
mp-1029479,Ca1 In2 N2,0.0005,0.5478
wbm-1-14650,Er1 Os1,0.0005,0.0
wbm-1-57448,Te2 Os1,0.0006,0.0
wbm-3-77105,Ac1 Tb1 Zn2,0.0006,0.0
mp-1210121,Na2 Th4 P6 O24,5.1122,4.6558
wbm-2-20429,Hf1 Ge1 Pt2,0.0006,0.0
wbm-5-10645,K4 Rb2 Sb2,0.3658,0.24
wbm-3-65637,Dy2 Sb4 Pt2,0.0005,0.0
wbm-2-50088,Ti4 Se6,0.0006,0.0
mp-1207980,Tm2 Zr2 F14,6.0548,5.8705
mp-1518162,Sr2 La2 Eu2 Sb2 O12,0.0006,0.0869
wbm-1-45651,Cu5 Sn1 P1,0.0006,0.0
wbm-2-10197,K2 Th2 Cl6,0.367,0.0
wbm-3-44526,Y2 W2 N6,0.0006,0.0
wbm-2-6605,Ba1 Pt1,0.0006,0.0
wbm-1-1389,Ti4 Al6,0.0006,0.0
mp-1227754,Ca3 Ho1 Mn4 O12,0.0006,0.0
wbm-3-14917,Zn2 Cu2 Cl8,0.9105,0.2
wbm-3-63526,Cs2 Co2 S4,0.0006,0.67
wbm-2-1614,Ti4 Al6 Os2,0.0006,0.0
wbm-1-45691,Er1 P1 Pt1,0.0006,0.0
wbm-3-2892,Tm1 Al5 Co2,0.0006,0.0
wbm-5-11353,Li1 Pa1 P2 Pt2,0.0006,0.0
mp-1217441,Tc4 N3,0.0005,0.0
mp-10606,Sm3 Tl1 C1,0.0005,0.0
mp-1207697,Zr3 Cu1 F6,0.0006,0.0
wbm-2-30221,Na4 Ta2 Te6,0.3509,0.29
mp-1094398,Mg6 Ti8,0.0006,0.0
wbm-2-16962,Sr1 Pm1 Fe2,0.0005,0.0
mp-1190964,Te5 Pd20,0.0006,0.0
mp-998309,Cs1 Na1 F3,-0.0002,0.0
wbm-3-44796,Ce4 Tl2 N2,0.0005,0.0
mp-686717,Fe2 Ni1 Se4,0.0005,0.0
wbm-5-846,Pr3 Al3 Sn2 Au1,0.0005,0.0
wbm-3-32205,U2 H3 I1,0.0006,0.0
wbm-3-47175,Lu4 Nb4 Sb4,0.0006,0.0
mp-31280,K8 P42 I2,1.5657,1.2638
mp-1192374,K4 Ge12 As12,0.9083,0.688
mp-1186469,Pr1 Pb1 Au2,0.0006,0.0
wbm-3-14688,Ce3 Ga1 Cl3,0.0006,0.0
mp-1247190,Zr2 Cr2 Ag2 S8,0.0005,0.7057
mp-1225864,Cs2 V2 Te2 O12,1.0406,1.634
wbm-4-15791,Ca2 H8 Rh2,0.0006,0.0
wbm-1-55330,Pr2 Si1 Pd1,0.0006,0.0
wbm-3-12059,Mn2 Co2 Si2 C1,0.0005,0.0
wbm-2-50999,Cs4 V2 Se6,0.4558,0.53
wbm-2-3165,La2 Al2 Rh2,0.0006,0.0
wbm-5-17577,Nd1 Rh2 Au3,0.0006,0.0
wbm-3-61362,Yb2 Sn4 Rh4,0.0006,0.0
wbm-3-6639,Pu8 As4,0.0006,0.0
wbm-3-51579,Y2 V2 O6,1.4726,1.49
mp-759288,Ga2 H10 N4 F4,3.8383,2.7259
mp-777666,Li4 V6 Cr2 O16,1.1999,1.1201
mp-1022713,Y1 Mg6 C1,0.0006,0.0
wbm-4-39401,Sm3 Zn4 Ga4,0.0005,0.0
wbm-4-382,Yb4 Al4 Ga2,0.0006,0.0
wbm-1-51145,Sc2 Co1 Re1,0.0005,0.0
wbm-1-16697,K1 Br2 F1,1.8449,1.28
wbm-2-49379,Sr2 Sn4 Pd2,0.0006,0.0
mp-1096231,Li1 Mg2 Cu1,0.0005,0.8964
mp-558945,Hg12 As4 Br4 O16,1.4788,1.8663
mp-1098700,K1 La1 Au2,0.0005,0.0
mp-757095,Li2 Fe1 P2 O8,0.0056,0.0
mp-18498,Sr6 Y2 Rh2 O12,2.0566,2.1748
wbm-3-28331,Pu3 Ga4 Pt4,0.0006,0.0
wbm-1-50453,Ag2 Sb2 S2 Cl4,0.685,0.78
wbm-1-34091,Nb1 Sb1 Pd1,0.0005,0.0
wbm-1-53104,Sr1 Tl2 Se1,0.0005,0.0
mp-1183261,Ag6 Ru2,0.0005,0.0
wbm-3-73666,Sr1 Cd1,0.0006,0.0
wbm-1-21104,Tm2 H2 Cl2,0.0007,0.0
wbm-2-2835,Pr2 Al2 I2,0.0005,0.0
mp-1291102,Zn4 Co4 O8,0.0005,0.9247
mp-862865,Pa2 Zn6,0.0006,0.0
mp-1101228,V4 F18,2.9315,0.6412
mp-778740,Na8 Co12 O16,0.0658,0.85
wbm-5-14413,Nd2 Er2 Bi2,0.0005,0.0
wbm-1-46698,Ba2 Sb4 Pd4,0.0006,0.0
wbm-2-34515,Nd1 Cd3 O4,0.0005,0.0
mp-973022,Sc1 Ru3,0.0006,0.0
wbm-4-17245,Pu1 Ir3 Pt2,0.0006,0.0
wbm-2-45640,La1 Ga2 Si2,0.0006,0.0
wbm-4-7854,Pa6 In2 Co1,0.0006,0.0
mp-295,Ho1 As1,0.0005,0.0
wbm-1-50051,Fe2 Hg1 S4,0.0006,0.0
wbm-2-23889,Rb2 Li4 P2,0.9873,0.82
wbm-2-49045,Ta1 Sn1 Te2,0.0006,0.0
wbm-3-48119,Tm1 Zn3 Ni2,0.0006,0.0
mp-1093688,Ca1 Cd1 Ag2,0.0006,0.5796
wbm-2-32811,Nd2 Ni2 Bi4,0.0005,0.0
mp-1208804,V8 Pb4 O8,0.0005,0.0
wbm-3-60955,Rb3 Nd3 Rh3,0.0006,0.0
wbm-3-44793,Ca2 I2 N2,0.0007,0.0
wbm-3-9353,Y2 Mn6 B1,0.0005,0.0
wbm-2-7573,Tm3 Fe1 C4,0.0006,0.0
mp-1188025,Zr1 Ni1 O3,0.59,0.0
wbm-5-21256,U2 Sn2,0.0006,0.0
mp-1247374,Sr1 Mn2 N2,0.0005,0.0
wbm-5-21904,Tm3 Hg1 Pt2,0.0005,0.0
wbm-1-1800,Al1 Cd1 In2,0.0006,0.0
wbm-2-47016,Cd2 Si1 Pt3,0.0005,0.0
mp-555667,Rb4 Fe4 F16,2.1502,2.57
wbm-4-27846,Er2 Zn1 Pt1 O6,1.9249,1.92
