Frequency (Hz),Real Permittivity,Dielectric Loss tan(δ),Imaginary Permittivity
7.52E+02,2.92E+02,1.33E+00,3.88E+02
7.96E+02,2.82E+02,1.33E+00,3.74E+02
8.43E+02,2.73E+02,1.32E+00,3.61E+02
8.93E+02,2.64E+02,1.32E+00,3.49E+02
9.46E+02,2.55E+02,1.32E+00,3.36E+02
1.00E+03,2.47E+02,1.31E+00,3.24E+02
1.06E+03,2.39E+02,1.31E+00,3.13E+02
1.13E+03,2.31E+02,1.30E+00,3.02E+02
1.19E+03,2.24E+02,1.30E+00,2.91E+02
1.26E+03,2.17E+02,1.29E+00,2.81E+02
1.34E+03,2.10E+02,1.29E+00,2.71E+02
1.42E+03,2.03E+02,1.28E+00,2.61E+02
1.50E+03,1.97E+02,1.28E+00,2.52E+02
1.59E+03,1.91E+02,1.27E+00,2.43E+02
1.68E+03,1.85E+02,1.26E+00,2.34E+02
1.78E+03,1.79E+02,1.26E+00,2.25E+02
1.89E+03,1.74E+02,1.25E+00,2.17E+02
2.00E+03,1.69E+02,1.24E+00,2.10E+02
2.12E+03,1.64E+02,1.23E+00,2.02E+02
2.24E+03,1.59E+02,1.23E+00,1.95E+02
2.38E+03,1.54E+02,1.22E+00,1.88E+02
2.52E+03,1.50E+02,1.21E+00,1.81E+02
2.67E+03,1.45E+02,1.20E+00,1.75E+02
2.83E+03,1.41E+02,1.19E+00,1.68E+02
2.99E+03,1.37E+02,1.18E+00,1.62E+02
3.17E+03,1.33E+02,1.17E+00,1.56E+02
3.36E+03,1.30E+02,1.16E+00,1.51E+02
3.56E+03,1.26E+02,1.15E+00,1.45E+02
3.77E+03,1.23E+02,1.14E+00,1.40E+02
3.99E+03,1.19E+02,1.13E+00,1.35E+02
4.23E+03,1.16E+02,1.12E+00,1.30E+02
4.48E+03,1.13E+02,1.11E+00,1.26E+02
4.74E+03,1.10E+02,1.10E+00,1.21E+02
5.02E+03,1.07E+02,1.09E+00,1.17E+02
5.32E+03,1.04E+02,1.08E+00,1.13E+02
5.64E+03,1.02E+02,1.07E+00,1.09E+02
5.97E+03,9.91E+01,1.06E+00,1.05E+02
6.33E+03,9.66E+01,1.05E+00,1.01E+02
6.70E+03,9.42E+01,1.03E+00,9.75E+01
7.10E+03,9.19E+01,1.02E+00,9.41E+01
7.52E+03,8.97E+01,1.01E+00,9.08E+01
7.96E+03,8.76E+01,1.00E+00,8.76E+01
8.43E+03,8.55E+01,9.88E-01,8.45E+01
8.93E+03,8.35E+01,9.76E-01,8.16E+01
9.46E+03,8.16E+01,9.65E-01,7.87E+01
1.00E+04,7.98E+01,9.53E-01,7.60E+01
1.06E+04,7.79E+01,9.41E-01,7.33E+01
1.13E+04,7.62E+01,9.29E-01,7.08E+01
1.19E+04,7.45E+01,9.17E-01,6.84E+01
1.26E+04,7.29E+01,9.05E-01,6.60E+01
1.34E+04,7.13E+01,8.94E-01,6.37E+01
1.42E+04,6.98E+01,8.82E-01,6.16E+01
1.50E+04,6.83E+01,8.70E-01,5.95E+01
1.59E+04,6.69E+01,8.58E-01,5.74E+01
1.68E+04,6.55E+01,8.47E-01,5.55E+01
1.78E+04,6.42E+01,8.35E-01,5.36E+01
1.89E+04,6.29E+01,8.23E-01,5.18E+01
2.00E+04,6.17E+01,8.12E-01,5.01E+01
2.12E+04,6.04E+01,8.00E-01,4.84E+01
2.24E+04,5.93E+01,7.89E-01,4.67E+01
2.38E+04,5.81E+01,7.77E-01,4.52E+01
2.52E+04,5.70E+01,7.66E-01,4.37E+01
2.67E+04,5.59E+01,7.55E-01,4.22E+01
2.83E+04,5.49E+01,7.44E-01,4.08E+01
2.99E+04,5.39E+01,7.33E-01,3.95E+01
3.17E+04,5.29E+01,7.22E-01,3.82E+01
3.36E+04,5.20E+01,7.11E-01,3.69E+01
3.56E+04,5.11E+01,7.00E-01,3.57E+01
3.77E+04,5.02E+01,6.89E-01,3.46E+01
3.99E+04,4.93E+01,6.78E-01,3.34E+01
4.23E+04,4.85E+01,6.67E-01,3.24E+01
4.48E+04,4.77E+01,6.57E-01,3.13E+01
4.74E+04,4.69E+01,6.46E-01,3.03E+01
5.02E+04,4.61E+01,6.36E-01,2.93E+01
5.32E+04,4.54E+01,6.26E-01,2.84E+01
5.64E+04,4.47E+01,6.16E-01,2.75E+01
5.97E+04,4.40E+01,6.05E-01,2.66E+01
6.33E+04,4.33E+01,5.95E-01,2.58E+01
6.70E+04,4.26E+01,5.86E-01,2.50E+01
7.10E+04,4.20E+01,5.76E-01,2.42E+01
7.52E+04,4.14E+01,5.66E-01,2.34E+01
7.96E+04,4.08E+01,5.56E-01,2.27E+01
8.43E+04,4.02E+01,5.47E-01,2.20E+01
8.93E+04,3.96E+01,5.37E-01,2.13E+01
9.46E+04,3.91E+01,5.28E-01,2.06E+01
1.00E+05,3.85E+01,5.18E-01,2.00E+01
1.06E+05,3.80E+01,5.09E-01,1.93E+01
1.13E+05,3.75E+01,5.00E-01,1.87E+01
1.19E+05,3.70E+01,4.91E-01,1.82E+01
1.26E+05,3.65E+01,4.82E-01,1.76E+01
1.34E+05,3.61E+01,4.73E-01,1.71E+01
1.42E+05,3.56E+01,4.64E-01,1.65E+01
1.50E+05,3.52E+01,4.56E-01,1.60E+01
1.59E+05,3.47E+01,4.47E-01,1.55E+01
1.68E+05,3.43E+01,4.39E-01,1.51E+01
1.78E+05,3.39E+01,4.31E-01,1.46E+01
1.89E+05,3.35E+01,4.23E-01,1.42E+01
2.00E+05,3.32E+01,4.15E-01,1.37E+01
2.12E+05,3.28E+01,4.07E-01,1.33E+01
2.24E+05,3.24E+01,3.99E-01,1.29E+01
2.38E+05,3.21E+01,3.91E-01,1.25E+01
2.52E+05,3.17E+01,3.83E-01,1.22E+01
2.67E+05,3.14E+01,3.76E-01,1.18E+01
2.83E+05,3.11E+01,3.68E-01,1.15E+01
2.99E+05,3.08E+01,3.61E-01,1.11E+01
3.17E+05,3.05E+01,3.54E-01,1.08E+01
3.36E+05,3.02E+01,3.46E-01,1.05E+01
3.56E+05,2.99E+01,3.39E-01,1.01E+01
3.77E+05,2.96E+01,3.32E-01,9.85E+00
3.99E+05,2.94E+01,3.25E-01,9.55E+00
4.23E+05,2.91E+01,3.19E-01,9.27E+00
4.48E+05,2.88E+01,3.12E-01,9.00E+00
4.74E+05,2.86E+01,3.06E-01,8.74E+00
5.02E+05,2.84E+01,2.99E-01,8.48E+00
5.32E+05,2.81E+01,2.93E-01,8.24E+00
5.64E+05,2.79E+01,2.87E-01,8.00E+00
5.97E+05,2.77E+01,2.81E-01,7.77E+00
6.33E+05,2.75E+01,2.75E-01,7.54E+00
6.70E+05,2.73E+01,2.69E-01,7.32E+00
7.10E+05,2.71E+01,2.63E-01,7.11E+00
7.52E+05,2.69E+01,2.57E-01,6.91E+00
7.96E+05,2.67E+01,2.52E-01,6.71E+00
8.43E+05,2.65E+01,2.46E-01,6.52E+00
8.93E+05,2.63E+01,2.41E-01,6.34E+00
9.46E+05,2.61E+01,2.36E-01,6.16E+00
1.00E+06,2.60E+01,2.31E-01,5.99E+00
1.06E+06,2.58E+01,2.26E-01,5.82E+00
1.13E+06,2.56E+01,2.21E-01,5.66E+00
1.19E+06,2.55E+01,2.16E-01,5.50E+00
1.26E+06,2.53E+01,2.11E-01,5.35E+00
1.34E+06,2.52E+01,2.06E-01,5.20E+00
1.42E+06,2.51E+01,2.02E-01,5.06E+00
1.50E+06,2.49E+01,1.97E-01,4.92E+00
1.59E+06,2.48E+01,1.93E-01,4.79E+00
1.68E+06,2.47E+01,1.89E-01,4.66E+00
1.78E+06,2.45E+01,1.85E-01,4.53E+00
1.89E+06,2.44E+01,1.81E-01,4.41E+00
2.00E+06,24.31,0.18,4.30E+00
